PigName,Approach.obs,Attempt.disp,Drink,Follow,Get.disp,Grunt,Nip,Nudge.ground,Other,Pee,Poop,Rest,Rest.proxim,Sniff.consp,Sniff.obj,Snout.touch,Squeal,Travel,Wag.tail,Yawn.not.contaig
Atlas,0,5,0,0,2,3,0,27,0,0,2,2,3,0,2,0,0,7,0,0
Bates,0,0,1,0,3,4,0,26,4,0,1,4,4,0,1,0,0,12,8,0
Bianca,0,0,3,0,0,3,0,10,4,1,1,7,4,2,7,0,0,6,4,0
Dahlia,1,1,0,0,0,5,1,20,5,0,0,4,8,0,0,0,0,4,1,0
Dora,3,1,0,1,3,5,0,27,5,1,1,1,5,1,1,0,0,2,0,0
Eleanor,0,3,1,0,0,4,2,21,4,1,0,9,3,0,0,0,0,2,7,0
George,0,0,5,0,0,3,0,1,3,1,0,5,15,1,0,0,0,5,0,0
Georgie,0,0,2,0,0,4,0,7,0,1,0,6,15,0,1,0,1,6,0,2
Hank,0,1,4,0,0,5,0,2,4,2,1,7,15,0,2,1,0,6,1,1
Horatio,0,0,1,0,0,3,0,13,2,0,0,8,4,2,1,1,0,8,10,1
Imogen,0,1,0,0,1,0,0,9,3,1,0,17,2,3,1,2,0,6,8,0
Kitty,0,4,0,0,3,5,0,17,3,2,0,8,2,1,3,0,0,6,1,0
Loretta,0,0,1,0,2,1,0,11,3,0,0,12,4,0,1,0,0,1,0,0
Molly,1,0,1,0,1,7,0,7,7,0,0,8,11,0,0,0,0,6,2,1
Pixie,0,0,6,1,5,4,0,24,8,3,0,4,2,2,3,0,0,12,0,2
Raymond,0,0,3,0,0,4,0,9,6,0,0,6,9,0,1,1,0,3,2,0
Rebel,0,0,0,0,0,3,0,12,2,1,0,9,7,1,0,0,2,1,5,1
Thomas,0,3,1,0,1,4,0,9,3,1,1,15,0,0,2,1,0,4,5,0
Wilbur,0,2,1,0,0,5,0,11,4,0,1,12,3,0,3,0,1,8,8,1
Willie,1,1,1,0,0,0,0,5,2,1,0,5,14,0,2,0,0,7,0,0