Observer,Date,Time,Pig,With/To,Behavior,Location,Notes,GPS,Start,Stop
AJ,9/16/22,9:18:41 AM,Hank,No Value,Yawn,"30.014642,-97.306208",Pixie sniffing him,,0,0
AJ,9/16/22,9:19:33 AM,Hank,No Value,,"30.014626,-97.306267",,,1,0
AJ,9/16/22,9:20:19 AM,Kitty,Loretta,,"30.014564,-97.306388",Sleeping,,0,0
AJ,9/16/22,9:26:23 AM,Dahlia,No Value,,"30.016698,-97.305840",Sleeping,,0,0
AJ,9/16/22,9:27:02 AM,Hank,No Value,,"30.014613,-97.306300",Sleeping,,0,0
AJ,9/21/22,4:40:56 PM,No Value,No Value,,,,,0,0
AJ,9/23/22,10:30:38 AM,Loretta,George,Lay.touch.consp,,,,1,0
AJ,9/23/22,10:35:30 AM,Loretta,George,Rest.proxim,,,,0,1
AJ,9/23/22,10:36:11 AM,George,Loretta,Rest.proxim,,,,1,0
AJ,9/23/22,10:41:44 AM,George,Loretta,Rest.proxim,,,,0,1
AJ,9/23/22,10:43:41 AM,Hank,Willie,Rest.proxim,,,,1,0
AJ,9/23/22,10:44:21 AM,Hank,No Value,Yawn.not.contaig,,,,0,0
AJ,9/23/22,10:44:33 AM,Hank,No Value,Travel,,,,0,0
AJ,9/23/22,10:45:15 AM,Hank,No Value,Pee,,,,0,0
AJ,9/23/22,10:46:23 AM,Hank,Willie,Snout.touch,,,,0,0
AJ,9/23/22,10:46:36 AM,Hank,Dahlia,Attempt.disp,,grunting with dahlia. she moved out of his way,,0,0
AJ,9/23/22,10:49:02 AM,Hank,No Value,Drink,,,,0,1
AJ,9/23/22,10:49:19 AM,Pixie,No Value,Root,,,,1,0
AJ,9/23/22,10:53:30 AM,Pixie,Molly,Root,,,,0,1
AJ,9/23/22,10:53:43 AM,Raymond,No Value,,,scratching on a tree,,1,0
AJ,9/23/22,10:54:10 AM,Raymond,No Value,Root,,,,0,0
AJ,9/23/22,10:55:17 AM,Raymond,No Value,Wag.tail,,,,0,0
AJ,9/23/22,10:55:57 AM,Raymond,No Value,Travel,,,,0,0
AJ,9/23/22,10:56:40 AM,Raymond,No Value,Eat,,eating some grass,,0,0
AJ,9/23/22,10:58:00 AM,Raymond,No Value,Grunt,,,,0,0
AJ,9/23/22,10:58:41 AM,Raymond,No Value,,,,,0,1
AJ,9/23/22,10:59:40 AM,Dahlia,No Value,Root,,,,1,0
AJ,9/23/22,11:00:28 AM,Dahlia,No Value,,,nudging the dinner table with snout,,0,0
AJ,9/23/22,11:01:08 AM,Dahlia,No Value,Root,,,,0,0
AJ,9/23/22,11:05:25 AM,Dahlia,No Value,Root,,,,0,1
AJ,9/23/22,11:06:31 AM,Willie,Raymond,Rest.proxim,,,,1,0
AJ,9/23/22,11:11:51 AM,Willie,Raymond,Rest,,,,0,1
AJ,9/23/22,11:12:02 AM,Kitty,No Value,Rest,,,,1,0
AJ,9/23/22,11:17:18 AM,Kitty,No Value,Rest,,,,0,1
AJ,9/23/22,11:19:34 AM,Molly,No Value,rolling in water/mud puddle,,,,1,0
AJ,9/23/22,11:20:49 AM,Molly,No Value,Rest,,in a puddle,,0,0
AJ,9/23/22,11:22:26 AM,Molly,No Value,Grunt,,,,0,0
AJ,9/23/22,11:22:45 AM,Molly,Pixie,Gets.disp,,stood up and left when pixie came in to puddle,,0,0
AJ,9/23/22,11:23:36 AM,Molly,No Value,Travel,,,,0,0
AJ,9/23/22,11:24:53 AM,Molly,No Value,scratching belly on dinner table,,,,0,0
AJ,9/23/22,11:25:16 AM,Molly,Pixie,Grunt,,,,0,1
AJ,9/30/22,10:51:39 AM,Kitty,Dahlia,Gets.disp,,,,1,0
AJ,9/30/22,10:52:55 AM,Kitty,Dahlia,Attempt.disp,,,,0,0
AJ,9/30/22,10:53:07 AM,Kitty,No Value,Root,,,,0,0
AJ,9/30/22,10:53:24 AM,Kitty,No Value,Wag.tail,,,,0,0
AJ,9/30/22,10:53:42 AM,Kitty,Dahlia,Root,,,,0,0
AJ,9/30/22,10:54:08 AM,Kitty,Willie,Gets.disp,,,,0,0
AJ,9/30/22,10:54:45 AM,Kitty,No Value,Travel,,,,0,0
AJ,9/30/22,10:55:43 AM,Kitty,No Value,Root,,,,0,0
AJ,9/30/22,10:56:27 AM,Kitty,No Value,Root,,,,0,1
AJ,9/30/22,10:56:37 AM,Dahlia,No Value,Travel,,,,1,0
AJ,9/30/22,10:56:58 AM,Dahlia,No Value,Root,,,,0,0
AJ,9/30/22,10:58:00 AM,Dahlia,Pixie,Attempt.disp,,,,0,0
AJ,9/30/22,10:58:33 AM,Dahlia,No Value,Root,,,,0,0
AJ,9/30/22,11:01:44 AM,Dahlia,No Value,Root,,,,0,1
AJ,9/30/22,11:01:57 AM,Pixie,Dahlia,Grunt,,,,1,0
AJ,9/30/22,11:02:24 AM,Pixie,No Value,Drink,,,,0,0
AJ,9/30/22,11:03:04 AM,Pixie,Willie,Root,,,,0,0
AJ,9/30/22,11:03:42 AM,Pixie,No Value,Travel,,,,0,0
AJ,9/30/22,11:03:52 AM,Pixie,Kitty,Root,,,,0,0
AJ,9/30/22,11:05:53 AM,Pixie,Willie,Gets.disp,,,,0,0
AJ,9/30/22,11:07:02 AM,Pixie,No Value,Root,,,,0,1
AJ,9/30/22,11:07:15 AM,Loretta,No Value,Root,,,,1,0
AJ,9/30/22,11:12:11 AM,Loretta,No Value,,,lifting dinner table with snout,,0,1
AJ,9/30/22,11:13:13 AM,Raymond,No Value,Rest,,near mud puddle,,1,0
AJ,9/30/22,11:17:49 AM,Raymond,No Value,Root,,got up,,0,0
AJ,9/30/22,11:18:13 AM,Raymond,No Value,Wag.tail,,,,0,0
AJ,9/30/22,11:18:22 AM,Raymond,No Value,Travel,,,,0,0
AJ,9/30/22,11:18:34 AM,Raymond,No Value,Drink,,,,0,1
AJ,9/30/22,11:19:37 AM,Molly,George,Lay.touch.consp,,,,1,0
AJ,9/30/22,11:24:40 AM,Molly,George,Lay.touch.consp,,,,0,1
AJ,9/30/22,11:25:00 AM,George,Molly,Lay.touch.consp,,,,1,0
AJ,9/30/22,11:25:14 AM,George,No Value,Grunt,,,,0,0
AJ,9/30/22,11:30:07 AM,George,Molly,Lay.touch.consp,,,,0,1
AJ,9/30/22,11:32:46 AM,Willie,Hank,Rest.proxim,,,,1,0
AJ,9/30/22,11:37:59 AM,Willie,Hank,Rest.proxim,,,,0,1
AJ,9/30/22,11:38:09 AM,Hank,Willie,Rest.proxim,,,,1,0
AJ,9/30/22,11:43:26 AM,Hank,Willie,Rest.proxim,,,,0,1
NS,9/16/22,9:18:41,Hank,No Value,Yawn,"30.014642,-97.306208",Pixie sniffing him,,0,0
NS,9/16/22,9:19:33,Hank,No Value,,"30.014626,-97.306267",,,1,0
NS,9/16/22,9:20:19,Kitty,Loretta,,"30.014564,-97.306388",Sleeping,,0,0
NS,9/16/22,9:26:23,Dahlia,No Value,,"30.016698,-97.305840",Sleeping,,0,0
NS,9/16/22,9:27:02,Hank,No Value,,"30.014613,-97.306300",Sleeping,,0,0
NS,9/23/22,10:30:39,George,Loretta,Rest.proxim,"30.018307,-97.307565",,,1,0
NS,9/23/22,10:35:41,George,Loretta,Rest.proxim,"30.014989,-97.306173",,,0,1
NS,9/23/22,10:36:01,Loretta,George,Rest.proxim,"30.015016,-97.306122",,,1,0
NS,9/23/22,10:41:46,Loretta,George,Rest.proxim,"30.016983,-97.306950",,,0,1
NS,9/23/22,10:43:10,Pixie,No Value,Travel,"30.016022,-97.306782",Walk towards me,,1,0
NS,9/23/22,10:43:43,Pixie,No Value,Pee,"30.015094,-97.306330",,,0,0
NS,9/23/22,10:44:04,Pixie,No Value,Sniff.obj,"30.015101,-97.306280",Branch,,0,0
NS,9/23/22,10:44:34,Pixie,No Value,Eat,"30.015091,-97.306365",Branch,,0,0
NS,9/23/22,10:45:24,Pixie,No Value,OOV,"30.015137,-97.306315",Rub head on branch,,0,0
NS,9/23/22,10:45:52,Pixie,No Value,Travel,"30.015194,-97.306340",Walk to water hole,,0,0
NS,9/23/22,10:46:16,Pixie,No Value,Other,"30.015148,-97.306378",Stick nose in water,,0,0
NS,9/23/22,10:46:28,Pixie,No Value,Rest,"30.015033,-97.306562",Laying in water,,0,0
NS,9/23/22,10:47:07,Pixie,No Value,Other,"30.015135,-97.306533",Get out of watering hole,,0,0
NS,9/23/22,10:47:26,Pixie,No Value,Other,"30.015005,-97.306485",Watch volunteer on buggy,,0,0
NS,9/23/22,10:47:52,Pixie,No Value,Grunt,"30.015039,-97.306513",,,0,1
NS,9/23/22,10:48:47,Dahlia,No Value,Other,"30.015108,-97.306541",Rub body on tree,,1,0
NS,9/23/22,10:49:33,Dahlia,No Value,Other,"30.015438,-97.306781",Rubbing face against tree,,0,0
NS,9/23/22,10:50:38,Dahlia,No Value,Root,"30.015052,-97.306551",Around dinner table,,0,0
NS,9/23/22,10:51:04,Dahlia,No Value,Eat,"30.015000,-97.306541",Eat hay off dinner table,,0,0
NS,9/23/22,10:51:55,Dahlia,No Value,Other,"30.015009,-97.306546",Step on dinner table,,0,0
NS,9/23/22,10:52:21,Dahlia,No Value,Travel,"30.015030,-97.306574",,,0,0
NS,9/23/22,10:52:30,Dahlia,No Value,Other,"30.015002,-97.306567",Look outside of fence,,0,0
NS,9/23/22,10:52:52,Dahlia,Raymond,Grunt,"30.015045,-97.306574",,,0,0
NS,9/23/22,10:53:44,Dahlia,Pixie,Co-feed,"30.015003,-97.306525",Eat hay off dinner table next to Pixie,,0,0
NS,9/23/22,10:54:36,Hank,No Value,Rest,"30.015034,-97.306552",In water,,1,0
NS,9/23/22,10:55:03,Hank,No Value,Grunt,"30.015366,-97.306537",Still laying in water,,0,0
NS,9/23/22,10:55:39,Hank,No Value,Other,"30.015236,-97.306505",Fart,,0,0
NS,9/23/22,10:56:02,Hank,No Value,Grunt,"30.015329,-97.306491",,,0,0
NS,9/23/22,10:56:35,Hank,No Value,Other,"30.015089,-97.306512",Stick nose in water,,0,0
NS,9/23/22,10:58:23,Hank,No Value,Wag.tail,"30.012596,-97.304971",Wag tail in water and splash water,,0,0
NS,9/23/22,10:59:38,Hank,No Value,Rest,"30.015372,-97.306651",,,0,1
NS,9/23/22,11:00:33,Raymond,No Value,Root,"30.015109,-97.306403",,,1,0
NS,9/23/22,11:01:06,Raymond,Willie,Rest.proxim,"30.015160,-97.306295",,,0,0
NS,9/23/22,11:03:24,Raymond,Kitty,Grunt,"30.015055,-97.306238",Grunt as Kitty approach,,0,0
NS,9/23/22,11:05:47,Kitty,No Value,Sniff.obj,"30.015041,-97.306305",Dirt,,1,0
NS,9/23/22,11:07:24,Kitty,No Value,Grunt,"30.016648,-97.306863",,,0,0
NS,9/23/22,11:07:36,Kitty,Raymond,Attempt.disp,"30.015011,-97.306240",,,0,0
NS,9/23/22,11:07:54,Kitty,No Value,Root,"30.015026,-97.306252",,,0,0
NS,9/23/22,11:08:30,Kitty,No Value,Grunt,"30.015049,-97.306249",Grunting while laying in dirt,,0,0
NS,9/23/22,11:08:48,Kitty,No Value,Rest,"30.015076,-97.306172",Willy and Raymond resting together approx 2 m away,,0,0
NS,9/23/22,11:13:04,Molly,No Value,Root,"30.017515,-97.307243",,,1,0
NS,9/23/22,11:13:33,Molly,No Value,Wag.tail,"30.014857,-97.306438",Wags tail side to side while rooting,,0,0
NS,9/23/22,11:13:59,Molly,No Value,Root,"30.014821,-97.306385",,,0,0
NS,9/23/22,11:15:13,Molly,No Value,Other,"30.015367,-97.306312",Rubbing face against branches and snapping them,,0,0
NS,9/23/22,11:15:49,Molly,No Value,Wag.tail,"30.014733,-97.306332",,,0,0
NS,9/23/22,11:17:08,Molly,No Value,Eat,"30.014928,-97.306281",Eat dirt,,0,0
NS,9/23/22,11:17:45,Molly,No Value,Drink,"30.014793,-97.306371",From watering hole,,0,1
NS,9/23/22,11:19:03,Willie,Raymond,Rest.proxim,"30.014947,-97.306390",Resting with Raymond. Kitty about 2m away,,1,0
NS,9/23/22,11:24:06,Willie,Raymond,Rest.proxim,"30.018283,-97.307556",,,0,1
NS,9/30/22,10:51:03,Pixie,Loretta,Co-feed,"30.017871,-97.305992",Eat pellets on dinner table,,1,0
NS,9/30/22,10:53:11,Pixie,No Value,Eat,"30.017222,-97.306082",Pellets. Loretta moved away and is eating on ground,,0,0
NS,9/30/22,10:54:22,Pixie,No Value,Drink,"30.014991,-97.306504",From large water bowl,,0,0
NS,9/30/22,10:54:47,Pixie,No Value,Sniff.obj,"30.015072,-97.306510",Dinner table,,0,0
NS,9/30/22,10:55:07,Pixie,No Value,Eat,"30.015055,-97.306463",Dirt,,0,0
NS,9/30/22,10:56:10,Pixie,No Value,Root,"30.014952,-97.306412",,,0,1
NS,9/30/22,10:56:39,Loretta,No Value,Eat,"30.015045,-97.306475",Dirt,,1,0
NS,9/30/22,10:57:53,Loretta,No Value,Sniff.obj,"30.015086,-97.306513",Ground,,0,0
NS,9/30/22,10:58:16,Loretta,Willie,Get.disp,"30.015078,-97.306456",,,0,0
NS,9/30/22,10:58:26,Loretta,No Value,Root,"30.015038,-97.306557",Push dinner table,,0,0
NS,9/30/22,10:59:21,Loretta,Kitty,Co-feed,"30.015019,-97.306538",Hay,,0,0
NS,9/30/22,10:59:38,Loretta,No Value,Eat,"30.015013,-97.306531",Dirt,,0,0
NS,9/30/22,11:00:00,Loretta,No Value,Root,"30.015035,-97.306524",Push dinner table,,0,0
NS,9/30/22,11:00:31,Loretta,No Value,Root,"30.015032,-97.306513",Push dinner table,,0,0
NS,9/30/22,11:01:26,Loretta,No Value,Eat,"30.015023,-97.306573",Pellets off of dinner table,,0,1
NS,9/30/22,11:01:50,Willie,No Value,Eat,"30.015025,-97.306570","Dirt
Pixie, Dahlia, and Kitty within 2 m",,1,0
NS,9/30/22,11:03:45,Willie,No Value,Eat,"30.015048,-97.306499",Hay,,0,0
NS,9/30/22,11:04:28,Willie,No Value,Travel,"30.015036,-97.306527",,,0,0
NS,9/30/22,11:05:03,Willie,No Value,Other,"30.014926,-97.306655",Approach Abby (observer),,0,0
NS,9/30/22,11:05:36,Willie,No Value,Eat,"30.015056,-97.306545",Hay,,0,0
NS,9/30/22,11:06:14,Willie,Pixie,Attempt.disp,"30.015067,-97.306537",Displaces Pixie,,0,0
NS,9/30/22,11:06:38,Willie,No Value,Eat,"30.014977,-97.306517",Hay and dirt,,0,1
NS,9/30/22,11:07:17,Dahlia,No Value,Eat,"30.015004,-97.306523",Dirt,,1,0
NS,9/30/22,11:07:37,Dahlia,No Value,Travel,"30.015124,-97.306508",,,0,0
NS,9/30/22,11:07:51,Dahlia,Pixie,Co-feed,"30.015084,-97.306518",Eat hay next to Pixie,,0,0
NS,9/30/22,11:08:47,Dahlia,Kitty,Co-feed,"30.015078,-97.306553",,,0,0
NS,9/30/22,11:10:37,Dahlia,No Value,Other,"30.014988,-97.306487",Approach Noah,,0,0
NS,9/30/22,11:11:12,Dahlia,No Value,Eat,"30.014934,-97.306718",Dirt,,0,0
NS,9/30/22,11:12:20,Dahlia,No Value,Eat,"30.014986,-97.306543",Dirt,,0,1
NS,9/30/22,11:12:41,Kitty,No Value,Eat,"30.014959,-97.306588",Dirt,,0,0
NS,9/30/22,11:17:44,Kitty,No Value,Eat,"30.015136,-97.306330",,,0,1
NS,9/30/22,11:18:33,George,Molly,Rest.proxim,"30.015036,-97.306531",,,0,0
NS,9/30/22,11:23:30,George,Molly,Rest.proxim,"30.017776,-97.305970",,,0,1
NS,9/30/22,11:27:05,Raymond,No Value,Root,"30.004003,-97.298480",,,0,0
NS,9/30/22,11:27:41,Raymond,Molly,Rest.proxim,"30.015056,-97.306291",Next to Molly and George,,0,0
NS,9/30/22,11:32:12,Raymond,No Value,Rest.proxim,"30.015038,-97.306252",Same,,0,1
NS,9/30/22,11:33:07,Molly,George,Rest.proxim,"30.015095,-97.306243",With George and Raymond,,1,0
NS,9/30/22,11:36:15,Molly,No Value,Other,"30.017700,-97.306007",Stand up,,0,0
NS,9/30/22,11:37:01,Molly,No Value,Rest.proxim,"30.015060,-97.306199",Lays back down,,0,0
NS,9/30/22,11:37:35,Molly,No Value,Rest.proxim,"30.015026,-97.306270",,,0,1
NS,9/30/22,11:43:28,Hank,Willie,Rest.proxim,"30.017648,-97.306016",,,1,0
NS,9/30/22,11:45:59,Hank,No Value,Grunt,"30.017567,-97.305999",,,0,0
NS,9/30/22,11:46:08,Hank,Willie,Rest.proxim,"30.014966,-97.306143",,,0,0
NS,9/30/22,11:48:31,Hank,Willie,Rest.proxim,"30.015006,-97.306070",,,0,1
AJ,9/16/22,8:36:18 AM,Bates,No Value,Root,"30.015152,-97.307521",,,0,0
AJ,9/16/22,8:36:40 AM,Bates,No Value,Co-feed,"30.014789,-97.307417",Eats next to Atlas,,0,0
AJ,9/16/22,8:37:12 AM,Bates,No Value,,"30.014801,-97.307403",Eating hay,,0,0
AJ,9/16/22,8:38:21 AM,Bates,No Value,Root,"30.015152,-97.307521",,,0,0
AJ,9/16/22,8:39:02 AM,Bates,No Value,Get.disp,"30.014812,-97.307473",Black and whit roof with tusks and white tail tip,,0,0
AJ,9/16/22,8:39:57 AM,Bates,No Value,Root,"30.014849,-97.307463",,,0,0
AJ,9/16/22,8:40:03 AM,Bates,Thomas,Co-feed,"30.014925,-97.307352",Eat hay next to Thomas,,0,0
AJ,9/16/22,8:40:52 AM,Bates,No Value,Get.disp,"30.014873,-97.307327",By black pig with white feet white tail male,,0,0
AJ,9/16/22,8:41:52 AM,Bates,No Value,Snout.tch,"30.014899,-97.307354",Grey and white pig (pic),,0,0
AJ,9/16/22,8:43:34 AM,Bates,No Value,Root,"30.014805,-97.307346",,,0,0
AJ,9/16/22,8:44:15 AM,Bates,No Value,Root,"30.014903,-97.307397",,,0,0
AJ,9/16/22,8:44:36 AM,Bates,No Value,Sniff.obj,"30.014829,-97.307378",Sniff feeding platform,,0,0
AJ,9/16/22,8:46:26 AM,Bates,Dora,Snout.tch,"30.016420,-97.306162",,,0,0
AJ,9/16/22,8:46:42 AM,Bates,No Value,Get.disp,"30.014848,-97.307440",Black pig white splashes pic,,0,0
AJ,9/16/22,8:48:51 AM,Bates,No Value,,"30.016746,-97.306027",Out of sight,,0,0
AJ,9/16/22,8:49:22 AM,Bates,No Value,,"30.015003,-97.307652",OOV >1 min,,0,0
AJ,9/16/22,8:50:18 AM,Georgie,No Value,Yawn,"30.014974,-97.307622",,,0,0
AJ,9/16/22,8:50:54 AM,Georgie,No Value,,"30.014922,-97.307397",Lay on ground,,0,0
AJ,9/16/22,8:51:31 AM,Georgie,No Value,,"30.014845,-97.307499",,,0,1
AJ,9/16/22,8:51:37 AM,Thomas,No Value,Root,"30.014929,-97.307432",,,0,0
AJ,9/16/22,8:52:32 AM,Atlas,No Value,Root,"30.014899,-97.307500",,,0,0
AJ,9/16/22,8:52:38 AM,Thomas,No Value,Root,"30.014828,-97.307392",,,0,0
AJ,9/16/22,8:53:57 AM,Thomas,Atlas,,"30.014762,-97.307245",Sniff Atlas,,0,0
AJ,9/16/22,8:54:40 AM,Thomas,No Value,Root,"30.015152,-97.307521",,,0,0
AJ,9/16/22,8:54:56 AM,Atlas,No Value,Root,"30.014805,-97.307342",,,0,0
AJ,9/16/22,8:55:30 AM,Thomas,No Value,Get.disp,"30.014800,-97.307447",Pink pig black on face (pic),,0,0
AJ,9/16/22,8:56:06 AM,Thomas,No Value,Root,"30.015152,-97.307521",,,0,0
AJ,9/16/22,8:57:17 AM,Thomas,No Value,Root,"30.015152,-97.307521",,,0,0
AJ,9/16/22,8:58:09 AM,Imogen,No Value,Root,"30.014859,-97.307347",,,0,0
AJ,9/16/22,8:58:17 AM,Thomas,No Value,Root,"30.014816,-97.307382",,,0,0
AJ,9/16/22,9:01:18 AM,Thomas,Eleanor,Co-feed,"30.015717,-97.306906",,,0,0
AJ,9/16/22,9:02:12 AM,Thomas,No Value,Root,"30.014912,-97.307343",,,0,0
AJ,9/16/22,9:04:24 AM,Thomas,No Value,Get.disp,"30.015580,-97.306952",Marbled pig male white tail tusks,,0,0
AJ,9/16/22,9:05:27 AM,Thomas,No Value,Snout.tch,"30.014902,-97.307325",Black pig white feet (pic),,0,0
AJ,9/16/22,9:06:01 AM,Thomas,No Value,Sniff.obj,"30.014790,-97.307189",Branch on ground,,0,0
AJ,9/16/22,9:51:11 AM,Rebel,No Value,Root,"30.014868,-97.307467",,,0,0
AJ,9/16/22,9:51:30 AM,Rebel,No Value,Root,"30.014888,-97.307414",,,0,1
AJ,9/23/22,9:00:34 AM,No Value,No Value,,,,,0,0
AJ,9/23/22,9:00:42 AM,Thomas,No Value,Grunt,,,,1,0
AJ,9/23/22,9:01:05 AM,Thomas,No Value,Travel,,,,0,0
AJ,9/23/22,9:01:31 AM,Thomas,No Value,Poop,,,,0,0
AJ,9/23/22,9:01:57 AM,Thomas,No Value,Pee,,,,0,0
AJ,9/23/22,9:02:41 AM,Thomas,No Value,Wag.tail,,,,0,0
AJ,9/23/22,9:03:37 AM,Thomas,No Value,Travel,,,,0,0
AJ,9/23/22,9:04:37 AM,Thomas,Georgie,Snout.touch,,,,0,0
AJ,9/23/22,9:05:40 AM,Thomas,No Value,Rest,,,,0,0
AJ,9/23/22,9:06:44 AM,Thomas,No Value,,,,,0,1
AJ,9/23/22,9:06:58 AM,Georgie,No Value,Root,,,,1,0
AJ,9/23/22,9:07:12 AM,Georgie,No Value,Travel,,,,0,0
AJ,9/23/22,9:07:23 AM,Georgie,No Value,Drink,,,,0,0
AJ,9/23/22,9:07:52 AM,Georgie,No Value,Travel,,,,0,0
AJ,9/23/22,9:08:42 AM,Georgie,Dora,Lay.touch.consp,,,,0,0
AJ,9/23/22,9:12:09 AM,Georgie,Atlas,Rest.proxim,,,,0,0
AJ,9/23/22,9:12:22 AM,Georgie,Bates,Rest.proxim,,,,0,1
AJ,9/23/22,9:14:22 AM,Rebel,No Value,Root,,,,1,0
AJ,9/23/22,9:14:33 AM,Rebel,Eleanor,Root,,,,0,0
AJ,9/23/22,9:19:28 AM,No Value,No Value,,"0.000000,0.000000",,,0,1
