,SC1.Avg,SC2.Avg,SC3.Avg,SC4.Avg,SC5.Avg,SC6.Avg,SC7.Avg,SC8.Avg,SC9.Avg,SC10.Avg,SC11.Avg,SC12.Avg,
SC1.Avg,1,0.77428446,0.575801567,0.88354201,0.496690262,-0.33199118,-0.64362186,-0.12121984,-0.36958349,-0.77967793,-0.03265757,-0.4907973,
SC2.Avg,0.77428446,1,0.705094954,0.67652364,0.514657971,-0.25223652,-0.52889732,0.07890548,-0.16578718,-0.41945779,-0.16875453,-0.547805,
SC3.Avg,0.57580157,0.70509495,1,0.45772072,-0.006066219,-0.58845846,-0.17382676,0.26206559,0.07339191,-0.33091057,-0.25284756,-0.7337435,
SC4.Avg,0.88354201,0.67652364,0.457720719,1,0.54421769,-0.08352483,-0.63292593,-0.0712182,-0.48866532,-0.74657208,-0.04670817,-0.3695965,
SC5.Avg,0.49669026,0.51465797,-0.006066219,0.54421769,1,0.41393479,-0.56208351,-0.10160433,-0.23636766,-0.41393711,0.32564082,0.1924172,
SC6.Avg,-0.33199118,-0.25223652,-0.588458465,-0.08352483,0.413934789,1,0.07103596,-0.10822745,-0.31620097,0.20358969,0.37634606,0.7931188,
SC7.Avg,-0.64362186,-0.52889732,-0.173826763,-0.63292593,-0.562083513,0.07103596,1,-0.04799897,0.45936058,0.67603525,-0.38444649,0.1008635,
SC8.Avg,-0.12121984,0.07890548,0.26206559,-0.0712182,-0.10160433,-0.10822745,-0.04799897,1,0.20324064,0.06546102,-0.07294602,-0.2128457,
SC9.Avg,-0.36958349,-0.16578718,0.073391908,-0.48866532,-0.23636766,-0.31620097,0.45936058,0.20324064,1,0.47289359,-0.35621402,-0.2552147,
SC10.Avg,-0.77967793,-0.41945779,-0.330910565,-0.74657208,-0.413937114,0.20358969,0.67603525,0.06546102,0.47289359,1,-0.31869599,0.2364587,
SC11.Avg,-0.03265757,-0.16875453,-0.252847555,-0.04670817,0.325640822,0.37634606,-0.38444649,-0.07294602,-0.35621402,-0.31869599,1,0.5502485,
SC12.Acg,-0.49079734,-0.54780496,-0.733743463,-0.36959649,0.192417209,0.79311879,0.10086348,-0.21284568,-0.25521465,0.23645874,0.55024854,1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,