PigID,Time.Known.D,D1.D,D2.D,D3.D,D4.D,D5.D,D6.D,D7.D,D8.D,D9.D,D10.D,D11.D,D12.D,D13.D,D14.D,D15.D,D16.D,D17.D,D18.D,D19.D,D20.D,D21.D,D22.D,D23.D,D24.D,D25.D,D26.D,D27.D,D28.D,D29.D,D30.D,D31.D,D32.D,D33.D,D34.D,D35.D,SC1.D,SC2.D,SC3.D,SC4.D,SC5.D,SC6.D,SC7.D,SC8.D,SC9.D,SC10.D,SC11.D,SC12.D,F1.D,F2.D,F3.D,F4.D
1,72,7,1,1,5,1,1,7,7,4,1,7,6,1,4,7,2,6,1,7,4,2,5,1,5,1,1,5,2,5,6,1,7,1,2,5,3,3,3,5,3,8,14,2,14,15,10,12,14,11,45,22
2,72,7,1,1,1,6,1,4,5,1,2,2,1,4,4,5,1,6,5,6,6,1,3,5,5,4,5,5,5,1,5,5,7,2,6,1,12,6,9,15,9,6,13,8,15,16,11,5,42,15,52,16
3,72,1,1,4,1,7,1,4,1,1,6,3,5,7,4,1,3,1,5,2,5,1,6,7,1,1,6,2,7,1,4,1,2,6,7,1,21,17,17,21,9,3,17,5,15,7,12,9,76,12,44,21
4,55,7,1,1,1,1,1,4,7,2,5,7,6,1,3,6,6,5,5,6,6,1,2,1,5,1,7,6,1,3,5,1,7,2,1,5,3,4,12,3,4,5,20,9,20,16,5,10,22,9,65,15
5,72,2,2,1,4,1,1,7,7,6,4,1,7,1,5,7,4,6,1,7,7,4,1,1,1,1,7,6,1,1,6,1,2,1,6,6,8,3,6,8,3,6,20,2,12,19,8,19,25,9,53,27
6,92,6,3,1,6,4,1,4,5,5,6,3,1,6,4,6,1,5,5,6,5,1,7,4,2,1,2,2,4,2,3,1,7,4,2,5,10,6,15,12,4,4,10,8,10,9,16,16,43,8,37,32
7,60,7,4,1,4,2,1,4,7,7,4,6,4,4,5,6,1,3,1,7,5,5,6,1,3,5,4,4,6,4,4,5,7,1,4,7,4,3,6,14,8,14,15,8,15,9,15,19,27,22,47,34
8,60,7,1,4,3,2,1,4,6,3,1,6,5,2,4,6,1,3,2,3,5,1,5,1,6,1,1,5,1,2,7,4,5,1,5,5,4,11,4,8,7,4,9,8,16,13,11,10,27,11,46,21
9,54,6,1,5,5,3,1,5,6,2,5,3,7,3,5,7,6,7,4,2,5,1,5,1,4,1,4,6,7,5,7,1,6,5,4,3,6,13,14,14,3,7,13,8,11,17,5,9,47,10,49,14
10,60,2,1,5,3,7,1,4,1,1,5,6,1,4,4,1,4,1,5,2,6,1,6,7,7,1,2,5,5,1,4,1,3,5,6,1,20,18,15,15,9,3,8,8,17,7,8,3,68,12,40,11
11,60,2,1,3,1,5,1,4,5,3,5,5,5,4,4,5,4,5,5,5,5,1,5,5,4,1,4,5,5,1,5,1,5,2,4,5,16,9,12,13,5,3,12,8,17,13,8,12,50,8,50,20
12,54,6,1,1,1,6,1,2,5,2,7,6,2,2,4,5,1,3,5,6,2,1,7,2,3,1,6,4,2,2,3,1,7,5,4,1,10,6,17,8,5,4,15,11,15,7,12,8,41,9,48,20
13,54,7,1,1,5,1,1,4,7,7,4,6,5,1,5,5,1,5,1,6,5,1,6,1,2,1,2,5,4,6,6,4,7,1,4,6,3,4,6,9,8,8,14,8,14,13,11,19,22,16,49,30
14,48,7,1,6,1,5,1,5,3,2,4,6,7,5,5,7,6,7,7,7,6,1,3,1,5,1,6,6,6,1,7,1,3,5,4,1,7,12,16,15,3,3,18,8,19,19,5,6,50,6,64,11
15,6,7,1,5,1,3,1,2,3,1,5,6,7,1,6,7,6,7,5,7,7,1,1,1,6,1,7,6,1,1,7,1,4,5,4,2,5,11,15,6,3,3,18,11,20,21,5,5,37,6,70,10
16,54,2,1,7,5,7,1,5,1,1,6,6,2,6,6,2,2,2,7,2,6,1,7,7,6,1,6,4,7,1,2,1,3,6,6,1,20,20,19,19,8,3,13,8,15,5,11,4,78,11,41,15
17,60,4,1,4,6,7,1,4,1,1,3,3,2,4,4,1,4,2,4,2,5,1,7,6,1,1,2,5,6,1,3,1,7,3,6,1,17,17,10,16,9,3,11,8,10,6,8,9,60,12,35,17
18,54,2,1,5,2,7,1,4,2,1,5,3,1,6,4,2,4,4,6,2,5,1,3,7,4,1,4,4,5,1,2,1,3,5,6,2,20,17,16,17,8,3,10,5,14,11,9,7,70,11,40,16
19,66,7,5,1,5,1,4,4,7,6,1,3,7,2,4,7,4,7,1,6,6,5,2,1,2,4,3,5,3,6,7,3,7,1,2,7,3,4,3,7,8,15,17,8,12,20,12,19,17,23,57,31
20,54,6,5,5,2,5,6,4,5,6,4,6,6,4,3,6,4,6,5,2,6,5,2,2,5,4,3,5,4,5,6,5,6,4,2,7,9,14,13,10,13,14,11,8,18,18,12,16,46,27,55,28