PigID,Time.Known.Avg,D1.Avg,D2.Avg,D3.Avg,D4.Avg,D5.Avg,D6.Avg,D7.Avg,D8.Avg,D9.Avg,D10.Avg,D11.Avg,D12.Avg,D13.Avg,D14.Avg,D15.Avg,D16.Avg,D17.Avg,D18.Avg,D19.Avg,D20.Avg,D21.Avg,D22.Avg,D23.Avg,D24.Avg,D25.Avg,D26.Avg,D27.Avg,D28.Avg,D29.Avg,D30.Avg,D32.Avg,D32.Avg,D33.Avg,D34.Avg,D35.Avg,SC1.Avg,SC2.Avg,SC3.Avg,SC4.Avg,SC5.Avg,SC6.Avg,SC7.Avg,SC8.Avg,SC9.Avg,SC10.Avg,SC11.Avg,SC12.Avg,F1.Avg,F2.Avg,F3.Avg,F4.Avg
1,72,7,3,1.5,3.5,1,1,6,7,5,1,6.5,6,1.5,2.5,7,3.5,6,1.5,6.5,4.5,1.5,3.5,1,5,1.5,2,5.5,3,5,6,2.5,5,1.5,2,5.5,3,4,4,6.5,4.5,8,14,4.5,15.5,16.5,10,13.5,17.5,12.5,50.5,23.5
2,66,6,1.5,1,1.5,4,1,4,5.5,3,1.5,2,3,3.5,4,5,2,5.5,3.5,5.5,6,2,4,3.5,5,4,3.5,5.5,4.5,2,5,3.5,6.5,2,6,3,9.5,6,7,14,7.5,8,11,8,14,14.5,10,9,36.5,15.5,47.5,19
3,60,1,1,3,1.5,7,1,4,2,1.5,3.5,2.5,4,6.5,4.5,1,2.5,1,5.5,3.5,3.5,3,5.5,6.5,3.5,1,4,4,7,1.5,3.5,1,4,4.5,7,1.5,20.5,13.5,13.5,20.5,9,5.5,12,6.5,13,7,10.5,7.5,68,14.5,38.5,18
4,56,6.5,1.5,1.5,1.5,1,1,4,6.5,3.5,3,6,4.5,1.5,4,5,4,3.5,5,6,6,2,2.5,1,5,1,6,6.5,3,2.5,4,1.5,6.5,3.5,3,4,4,5,11.5,7.5,5.5,5.5,15,8,18.5,13,10,10.5,28,11,54.5,20.5
5,70.5,4,2.5,3,3,1,1,6,6.5,4.5,2.5,4,6.5,1.5,3,6.5,4.5,6,2.5,6.5,7,3,2,1,3,1,6.5,5.5,1.5,3.5,6,1.5,2.5,3,3.5,4.5,6,6,8,6.5,4,7.5,18.5,5,15.5,18,8.5,14,26.5,11.5,57,22.5
6,82,6.5,4.5,2,4.5,3,1,4.5,6,5.5,3.5,2.5,2,4.5,4,6,2,5,3.5,6,5.5,1.5,4.5,2.5,2.5,1.5,2.5,4,3,3.5,4,1.5,6.5,3,2,5.5,7,6,10,9.5,4.5,6.5,9,7.5,11,12.5,14.5,16.5,32.5,11,40,31
7,57.5,7,3,1.5,3.5,2,1,4,7,7,3,4,3.5,3.5,4.5,5.5,2.5,2.5,1,6.5,6,3.5,4.5,1.5,4.5,3.5,3.5,5,4.5,4.5,4.5,3.5,7,1,4,6,4.5,4,5,12,7,11.5,14,8.5,12.5,10.5,11.5,16.5,25.5,18.5,45.5,28
8,60,7,1,3,2.5,2,1,4,6,4.5,1,6,5.5,2,4,6,2.5,4.5,2,5,4,1,3.5,1.5,6,1,3,6,1.5,3.5,7,3,5.5,1.5,3.5,5,4.5,8,4.5,7,6,5.5,11,8,17,16,11.5,11.5,24,11.5,52,23
9,57,6,3,4,5,2.5,1,4.5,6,4,3.5,2.5,6.5,3,5,6.5,5.5,6,3,3.5,3.5,3,5,3,4.5,2,3,6,7,5.5,6.5,3,5.5,3,4.5,4.5,7.5,10.5,9.5,14.5,5.5,10.5,12,8.5,11,15.5,7.5,12,42,16,47,19.5
10,52.5,2,3,5,3,6.5,1,4,3,3,4,5.5,1.5,5,4,1,4,1,3.5,3.5,4,3,4.5,6.5,5,1.5,2,5.5,5.5,3,3,1.5,4,3.5,6.5,3.5,19,14.5,11,17,9.5,7.5,7.5,8,16,7.5,9.5,9.5,61.5,17,39,19
11,52.5,3.5,3,3,1.5,5,1,4,5.5,4,5,3.5,5,5,4,3.5,3.5,3.5,4,5.5,5,1,3.5,5,4.5,1,3,5.5,5,3,3.5,1,5.5,2,4.5,5,14.5,8,11,14.5,6.5,5,10.5,8,15,11.5,10,12.5,48,11.5,45,22.5
12,57,6.5,3,2,1.5,4.5,1,3,5.5,3.5,4.5,5.5,3.5,2.5,4.5,5,3,4.5,3.5,6,4,1,4.5,2,4,2,5.5,5.5,2,4,4.5,1,6.5,3.5,3.5,3,8,6.5,11.5,8,5,7,13.5,9.5,16,12.5,13.5,10.5,34,12,51.5,24
13,57,6.5,3.5,1,3,1,1,3.5,7,7,2.5,4,5.5,2,4.5,5.5,2,4,1,6,5.5,1.5,4,1,3.5,2.5,2,5.5,3,6.5,6,3.5,6,1,3.5,6.5,3.5,4,4.5,8.5,7,10.5,12.5,9,14,14,12,18,20.5,17.5,49.5,30
14,49,7,2.5,4,1,3.5,1,5,4,2,2.5,5.5,6.5,3,5,7,5,6.5,5,6.5,6.5,1,3,1,5,1,4.5,6,4,3,7,1.5,4.5,5,3.5,2,5.5,9.5,12.5,10.5,3.5,5,14.5,8,18.5,18.5,7.5,7,38,8.5,59.5,14.5
15,7,7,1,3.5,1.5,2,1,2.5,4,1.5,3,6,7,1.5,5.5,7,6,7,5,6.5,7,1,1.5,1,5.5,1,6.5,6,1.5,1,7,1,4.5,5,3,2,4,9,13,6,3,3,17,11,19.5,20.5,5,6,32,6,68,11
16,52,3.5,1.5,6.5,5,6,1,4.5,1.5,1,6,4,2.5,4.5,5.5,4,2,4,7,2.5,4,1.5,4.5,4.5,4.5,2.5,4,4.5,4.5,1.5,3.5,1.5,4,6,5.5,1,15,18.5,19,14.5,6.5,5.5,10.5,9,13,11,11,5.5,67,12,43.5,16.5
17,47.5,5,1.5,3,4,6,1,4,3,3,2,2.5,2.5,3.5,4,1.5,4,4,3,4,3.5,2,6,5.5,3.5,1,2,6,4,3,4,1,6.5,2.5,5,3,14.5,12,7.5,12.5,8.5,6,9,8,11.5,10,10.5,10.5,46.5,14.5,38.5,21
18,47,1.5,1,5.5,2,7,1,4,2.5,1.5,4,2.5,1.5,6,2.5,1.5,3.5,2.5,5.5,3.5,3.5,1,4,7,5,1.5,3,5,5.5,1.5,2,1,3,5,6,2,20.5,15.5,14.5,17.5,8.5,4,9.5,6.5,12,8.5,8.5,6.5,68,12.5,36.5,15
19,63,6,5,2,4,1.5,3,4.5,6.5,6,1.5,3,6.5,2,4,6.5,4.5,6.5,2,5.5,6,4,2.5,1.5,2.5,3,3,5.5,3,6,7,2,5,1.5,3.5,6.5,5,6,5,8.5,6.5,13,15.5,7.5,13,19,11,18,24.5,19.5,55,29
20,52,4.5,5.5,5,2,3.5,6,4,4,6,3,4,5.5,3.5,3.5,4.5,4,5.5,3,2.5,4,4,2.5,2,3.5,3.5,2.5,5,4.5,5.5,5.5,5.5,5.5,3,4,7,9,14.5,9,12,15,13,10.5,7.5,16,16.5,12.5,17.5,44.5,28,50.5,30