PigID,Time.Known.T,D1.T,D2.T,D3.T,D4.T,D5.T,D6.T,D7.T,D8.T,D9.T,D10.T,D11.T,D12.T,D13.T,D14.T,D15.T,D16.T,D17.T,D18.T,D19.T,D20.T,D21.T,D22.T,D23.T,D24.T,D25.T,D26.T,D27.T,D28.T,D29.T,D30.T,D31.T,D32.T,D33.T,D34.T,D35.T,SC1.T,SC2.T,SC3.T,SC4.T,SC5.T,SC6.T,SC7.T,SC8.T,SC9.T,SC10.T,SC11.T,SC12.T,F1.T,F2.T,F3.T,F4.T
1,72,7,5,2,2,1,1,5,7,6,1,6,6,2,1,7,5,6,2,6,5,1,2,1,5,2,3,6,4,5,6,4,3,2,2,6,3,5,5,8,6,8,14,7,17,18,10,15,21,14,56,25
2,60,5,2,1,2,2,1,4,6,5,1,2,5,3,4,5,3,5,2,5,6,3,5,2,5,4,2,6,4,3,5,2,6,2,6,5,7,6,5,13,6,10,9,8,13,13,9,13,31,16,43,22
3,48,1,1,2,2,7,1,4,3,2,1,2,3,6,5,1,2,1,6,5,2,5,5,6,6,1,2,6,7,2,3,1,6,3,7,2,20,10,10,20,9,8,7,8,11,7,9,6,60,17,33,15
4,57,6,2,2,2,1,1,4,6,5,1,5,3,2,5,4,2,2,5,6,6,3,3,1,5,1,5,7,5,2,3,2,6,5,5,3,5,6,11,12,7,6,10,7,17,10,15,11,34,13,44,26
5,69,6,3,5,2,1,1,5,6,3,1,7,6,2,1,6,5,6,4,6,7,2,3,1,5,1,6,5,2,6,6,2,3,5,1,3,4,9,10,5,5,9,17,8,19,17,9,9,28,14,61,18
6,72,7,6,3,3,2,1,5,7,6,1,2,3,3,4,6,3,5,2,6,6,2,2,1,3,2,3,6,2,5,5,2,6,2,2,6,4,6,5,7,5,9,8,7,12,16,13,17,22,14,43,30
7,55,7,2,2,3,2,1,4,7,7,2,2,3,3,4,5,4,2,1,6,7,2,3,2,6,2,3,6,3,5,5,2,7,1,4,5,5,5,4,10,6,9,13,9,10,12,8,14,24,15,44,22
8,60,7,1,2,2,2,1,4,6,6,1,6,6,2,4,6,4,6,2,7,3,1,2,2,6,1,5,7,2,5,7,2,6,2,2,5,5,5,5,6,5,7,13,8,18,19,12,13,21,12,58,25
9,60,6,5,3,5,2,1,4,6,6,2,2,6,3,5,6,5,5,2,5,2,5,5,5,5,3,2,6,7,6,6,5,5,1,5,6,9,8,5,15,8,14,11,9,11,14,10,15,37,22,45,25
10,45,2,5,5,3,6,1,4,5,5,3,5,2,6,4,1,4,1,2,5,2,5,3,6,3,2,2,6,6,5,2,2,5,2,7,6,18,11,7,19,10,12,7,8,15,8,11,16,55,22,38,27
11,45,5,5,3,2,5,1,4,6,5,5,2,5,6,4,2,3,2,3,6,5,1,2,5,5,1,2,6,5,5,2,1,6,2,5,5,13,7,10,16,8,7,9,8,13,10,12,13,46,15,40,25
12,60,7,5,3,2,3,1,4,6,5,2,5,5,3,5,5,5,6,2,6,6,1,2,2,5,3,5,7,2,6,6,1,6,2,3,5,6,7,6,8,5,10,12,8,17,18,15,13,27,15,55,28
13,60,6,6,1,1,1,1,3,7,7,1,2,6,3,4,6,3,3,1,6,6,2,2,1,5,4,2,6,2,7,6,3,5,1,3,7,4,4,3,8,6,13,11,10,14,15,13,17,19,19,50,30
14,50,7,4,2,1,2,1,5,5,2,1,5,6,1,5,7,4,6,3,6,7,1,3,1,5,1,3,6,2,5,7,2,6,5,3,3,4,7,9,6,4,7,11,8,18,18,10,8,26,11,55,18
15,8,7,1,2,2,1,1,3,5,2,1,6,7,2,5,7,6,7,5,6,7,1,2,1,5,1,6,6,2,1,7,1,5,5,2,2,3,7,11,6,3,3,16,11,19,20,5,7,27,6,66,12
16,50,5,2,6,5,5,1,4,2,1,6,2,3,3,5,6,2,6,7,3,2,2,2,2,3,4,2,5,2,2,5,2,5,6,5,1,10,17,19,10,5,8,8,10,11,17,11,7,56,13,46,18
17,35,6,2,2,2,5,1,4,5,5,1,2,3,3,4,2,4,6,2,6,2,3,5,5,6,1,2,7,2,5,5,1,6,2,4,5,12,7,5,9,8,9,7,8,13,14,13,12,33,17,42,25
18,40,1,1,6,2,7,1,4,3,2,3,2,2,6,1,1,3,1,5,5,2,1,5,7,6,2,2,6,6,2,2,1,3,5,6,2,21,14,13,18,9,5,9,8,10,6,8,6,66,14,33,14
19,60,5,5,3,3,2,2,5,6,6,2,3,6,2,4,6,5,6,3,5,6,3,3,2,3,2,3,6,3,6,7,1,3,2,5,6,7,8,7,10,5,11,14,7,14,18,10,17,32,16,53,27
20,50,3,6,5,2,2,6,4,3,6,2,2,5,3,4,3,4,5,1,3,2,3,3,2,2,3,2,5,5,6,5,6,5,2,6,7,9,15,5,14,17,12,10,7,14,15,13,19,43,29,46,32